Rechnungswesen V.8.27;;;;;;;;;;;;;;;;
653680/40950/2020;;;;;;;;;;;08.10.2020;;;;;
Adressliste;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
X-Direct Works GmbH;;;;;;;;;;;Seite 1;;;;;
(Kreditorenstammdaten);;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Konto;;Beschriftung;;Unternehmensgegenstand;;;;Postfach oder Straße;;;;Kunden-Nr.;;;;
;;;;;;;;;;;;;;;;
;;;;Telefon-Nr.;;;;PLZ / Ort;;;;USt-IdNr. o. Länderkennz.;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
70000;;Autohaus Staffel GmbH;;;;;;Müschener Str. 2;;;;119943;;;;
;;;;06431-9155-0;;;;65555 Limburg a.d. Lahn;;;;DE 113828959;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
70002;;AB Autoservice UG;;;;;;Am Wolfsgestell 2;;;;70002;;;;
;;;;02664-9935526;;;;56477 Rennerod, Westerw;;;;Deutschland;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
71805;;Stadt Hadamar;;;;;;Postfach 1129;;;;71805;;;;
;;;;;;;; Hadamar;;;;Deutschland;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
71814;;Stadt Dreieich;;;;;;;;;;71814;;;;
;;;;;06103-601145;;;; ;;;;Deutschland;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;65594 Runkel, Lahn;;;;Deutschland;;;;
;;;;;;;;;;;;;;;;
71821;;smart inside Marcini LIS - Pl;;;;;;;;;;71821;;;;
;;;;;;;; ;;;;PL 9570947534;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
71822;;Semcoglas GmbH;;;;;;Wilhemstr. 101;;;;71822;;;;
;;;;;;;;35392 Gießen;;;;Deutschland;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
71824;;Syna GmbH;;;;;;;;;;71824;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
71825;;Behälterdienst Sommerkorn GmbH;;;;;;An den Drei Hasen 43;;;;71825;;;;
;;;;;;;;61440 Oberursel;;;;Deutschland;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
71826;;Ali Simsek;;;;;;;;;;71826;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
71827;;SIG Schroll Consult GmbH;;;;;;;;;;71827;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
71900;;Gilles GmbH;;;;;;;;;;71900;;;;
;;;;;;;; ;;;;Deutschland;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
71902;;Teamfloor Bau GmbH;;;;;;Rückersteg 14;;;;71902;;;;
;;;;;;;;56242 Selters;;;;Deutschland;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
71903;;Thomas Nutzfahrzeuge GmbH;;;;;;;;;;71903;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
72000;;Üstün, Murat;;;;;;Koblenzer Str. 11;;;;72000;;;;
;;;;;;;;56412 Nentershausen, Westerw;;;;Deutschland;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
72010;;Herrmann Steuerberatungs GmbH;;;;;;Bismarckstraße 2;;;;40114;;;;
;;;;;06471 9291 - 0;;;;35781 Weilburg;;;;DE 275009864;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
72012;;Kfz-Mietung;;;;;;Torgelower Straße 24;;;;72012;;;;
;;;;03973 - 2030-0;;;;17309 Pasewalk;;;;Deutschland;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
72015;;Eugen König GmbH;;;;;;Postfach 100322;;;;1001138;;;;
;;;;0261-8071 0;;;;56033 Koblenz;;;;DE 148786384;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
72200;;WiA GmbH;;;;;;Am nußkopf 6;;;;72200;;;;
;;;;;;;;66578 Schiffweiler;;;;Deutschland;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
72206;;Weisbrod + Partner w+p;;;;;;;;;;72206;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
72207;;wego Systembaustoffe GmbH;;;;;;;;;;72207;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
72501;;Zachodnia Budowlanka;;;;;;;;;;72501;;;;
;;;;;;;; ;;;;DE 263378882;;;;
;;;;;;;;;;;;;;;;
73010;;Obijou Baumaschinen;;;;;;Hinter den Eichen 4;;;;73010;;;;
;;;;06431-56 78;;;;65604 Elz;;;;DE 243721321;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
73011;;Wagner GmbH;;;;;;Vor den Eichen 8;;;;73011;;;;
;;;;06431-2200 5;;;;65604 Elz;;;;DE 815592351;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
73012;;Gartentechnik;;;;;;Elzer Straße 30;;;;73012;;;;
;;;;06431 - 9352 20;;;;65556 Limburg a.d. Lahn;;;;DE 814567834;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
73013;;Nicko-Eko Metal Ltd.;;;;;;Ul. Ivan Denkoglu N. 34;;;;73013;;;;
;;;;;;;;1000 Sofia - Bulgarien;;;;BG 201968240;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
73015;;Salvatore Maglie;;;;;;Steedener Hauptstr. 80;;;;73015;;;;
;;;;;;;;65594 Runkel-Steeden;;;;Deutschland;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
73050;;Marx Gmbh;;;;;;;;;;73050;;;;
;;;;;;;; ;;;;Deutschland;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
73061;;MKM Brandschutz;;;;;;;;;;73061;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
74010;;RohrStar;;;;;;Justus-Staudt-Straße 8;;;;74010;;;;
;;;;06431-5981730;;;;65555 Limburg a.d. Lahn;;;;DE 242914420;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
74020;;Roth;;;;;;Industriestraße 3-5;;;;74020;;;;
;;;;06432 920292;;;;65582 Diez;;;;Deutschland;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
74031;;RSB GmbH;;;;;;;;;;74031;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
75001;;Stieb Bedachungen;;;;;;;;;;75001;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
75051;;TOITOI&DIXI;;;;;;;;;;75051;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
77101;;WE MA TEC GmbH T;;;;;;In den Elf Morgen 8;;;;112529;;;;
;;;;06431-2121 40;;;;65549 Limburg a.d. Lahn;;;;DE 811781024;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
77103;;Andreas Wirsing;;;;;;;;;;77103;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
77201;;Würth GmbH;;;;;;;;;;77201;;;;
;;;;;;;; ;;;;Deutschland;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
77203;;Weltbild GmbH & Co.KG;;;;;;;;;;77203;;;;
;;;;;;;; ;;;;DE 815516977;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
77204;;Winkelshop.de;;;;;;;;;;77204;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
77205;;Werner Objekteinrichtungen GmbH;;;;;;Strutweg 15;;;;77205;;;;
;;;;;;;;97653 Bischofsheim a d Rhön-Unterwei;;;;DE 813334876;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
77206;;Warenhandels GmbH & Co.. Leasing KG;;;;;;Am Taschinger Berg 10;;;;77206;;;;
;;;;;;;;93413 Cham;;;;DE 161011456;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
77207;;Wolfgang Reutbach - BaggerArbeiten Allro;;;;;;;;;;77207;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
77208;;White Lion GmbH;;;;;;;;;;77208;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
77209;;Troii Software GmbH;;;;;;Industriezeile 54;;;;77209;;;;
;;;;;;;;5280 Braunau;;;;Österreich;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;56412 Niederelbert;;;;Deutschland;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;Status 2020*FLH;;;;;;;;
